"","time","date","country","iso3","risk_mean","risk_sd","Risk_p_mean","Risk_p_sd","stringency_index"
"63",19119,2022-05-07,"Lithuania","LTU",0,0,0,0,11.11
"64",19119,2022-05-07,"Luxembourg","LUX",0.143793080901084,0.013648410533074,0.190884217311939,0.0181181608032311,24.67
"65",19119,2022-05-07,"Malta","MLT",0,0,0,0,19.44
"66",19119,2022-05-07,"Martinique","MTQ",0,0,0,0,18.79
"67",19119,2022-05-07,"Mexico","MEX",0.172346124015139,0.0224037621097498,0.209132537331803,0.0271857324472149,17.59
"68",19119,2022-05-07,"Monaco","MCO",0,0,0,0,17.59
"69",19119,2022-05-07,"Montenegro","MNE",0,0,0,0,40.46
"70",19119,2022-05-07,"Morocco","MAR",0,0,0,0,47.54
"71",19119,2022-05-07,"Mozambique","MOZ",0,0,0,0,28.7
"72",19119,2022-05-07,"Netherlands","NLD",0.201969759752105,0.0450136023314227,0.239470903191967,0.0533715939428773,15.66
"73",19119,2022-05-07,"New Caledonia","NCL",0,0,0,0,18.79
"74",19119,2022-05-07,"New Zealand","NZL",0,0,0,0,17.06
"75",19119,2022-05-07,"Nigeria","NGA",0.111351498495303,0.0208191449838987,0.173769504518263,0.0324893024093301,35.92
"76",19119,2022-05-07,"Norway","NOR",0.181788757600707,0.0132979436991248,0.204509795928347,0.0149599996615197,11.11
"77",19119,2022-05-07,"Panama","PAN",0,0,0,0,19.57
"78",19119,2022-05-07,"Paraguay","PRY",0,0,0,0,26.85
"79",19119,2022-05-07,"Peru","PER",0.104633185923491,0.0201844494129987,0.1757654727423,0.0339063487535674,40.47
"80",19119,2022-05-07,"Philippines","PHL",0,0,0,0,30.79
"81",19119,2022-05-07,"Poland","POL",0.167240181464154,0.0173715770306277,0.196314334386846,0.0203915682951376,14.81
"82",19119,2022-05-07,"Portugal","PRT",0.204507544526616,0.0138090716066292,0.237495696814093,0.0160365481438035,13.89
"83",19119,2022-05-07,"Puerto Rico","PRI",0.130270040569152,0.0145788878684732,0.180830150706764,0.0202372124770588,27.96
"84",19119,2022-05-07,"Qatar","QAT",0,0,0,0,32.65
"85",19119,2022-05-07,"Republic of Korea","KOR",0,0,0,0,14.28
"86",19119,2022-05-07,"Republic of Moldova","MDA",0,0,0,0,11.11
"87",19119,2022-05-07,"Romania","ROU",0.154625801459148,0.0378700848455462,0.173951852243389,0.0426033129098281,11.11
"88",19119,2022-05-07,"Russian Federation","RUS",0,0,0,0,23.15
"89",19119,2022-05-07,"Saint Martin","MAF",0,0,0,0,18.79
"90",19119,2022-05-07,"San Marino","SMR",0,0,0,0,13.89
"91",19119,2022-05-07,"Saudi Arabia","SAU",0,0,0,0,40.46
"92",19119,2022-05-07,"Serbia","SRB",0,0,0,0,11.11
"93",19119,2022-05-07,"Singapore","SGP",0,0,0,0,27.93
"94",19119,2022-05-07,"Slovakia","SVK",0,0,0,0,14.81
"95",19119,2022-05-07,"Slovenia","SVN",0.156011364463518,0.0322493336675951,0.181937451269408,0.0376085523820351,14.25
"96",19119,2022-05-07,"South Africa","ZAF",0,0,0,0,36.05
"97",19119,2022-05-07,"Spain","ESP",0.174335464239066,0.0154880180705245,0.240761585746535,0.0213893358245056,27.59
"98",19119,2022-05-07,"Sudan","SDN",0,0,0,0,13.89
"99",19119,2022-05-07,"Sweden","SWE",0.182086375184032,0.0154649069319952,0.204844611524392,0.0173978028259593,11.11
"100",19119,2022-05-07,"Switzerland","CHE",0.206633670776402,0.0154940852499052,0.232459973873779,0.0174306280232931,11.11
"101",19119,2022-05-07,"Thailand","THA",0,0,0,0,41.2
"102",19119,2022-05-07,"The United Kingdom","GBR",0.780298435395174,0.0183390800990922,0.877824767009983,0.0206312072213884,11.11
"103",19119,2022-05-07,"T鐪塺kiye","TUR",0,0,0,0,13.89
"104",19119,2022-05-07,"Ukraine","UKR",0,0,0,0,61.46
"105",19119,2022-05-07,"United Arab Emirates","ARE",0,0,0,0,32.26
"106",19119,2022-05-07,"United States of America","USA",0.159870934563162,0.0151713927201884,0.22191967596219,0.0210596789563971,27.96
"107",19119,2022-05-07,"Uruguay","URY",0,0,0,0,13.89
"108",19119,2022-05-07,"Venezuela (Bolivarian Republic of)","VEN",0,0,0,0,25
"109",19119,2022-05-07,"Viet Nam","VNM",0,0,0,0,28.7
"110",19120,2022-05-08,"Andorra","AND",0,0,0,0,8.33
"111",19120,2022-05-08,"Argentina","ARG",0.113026490676996,0.0421280248542226,0.137151426619337,0.0511200398667911,17.59
"112",19120,2022-05-08,"Aruba","ABW",0,0,0,0,25.93
"113",19120,2022-05-08,"Australia","AUS",0.134131458414123,0.00795175668849009,0.212569664681653,0.0126018331037878,36.9
"114",19120,2022-05-08,"Austria","AUT",0.132147949926517,0.00913512257331681,0.213004432505669,0.0147245689447402,37.96
"115",19120,2022-05-08,"Bahamas","BHS",0,0,0,0,46.71
"116",19120,2022-05-08,"Bahrain","BHR",0,0,0,0,11.11
"117",19120,2022-05-08,"Barbados","BRB",0,0,0,0,39.01
"118",19120,2022-05-08,"Belgium","BEL",0.204362245624973,0.014904481058292,0.247982339066828,0.0180857675746778,17.59
"119",19120,2022-05-08,"Benin","BEN",0,0,0,0,13.89
"120",19120,2022-05-08,"Bermuda","BMU",0,0,0,0,16.06
"121",19120,2022-05-08,"Bolivia (Plurinational State of)","BOL",0.0604456195212403,0.0443413596582108,0.0796070321628346,0.0583976816254587,24.07
"122",19120,2022-05-08,"Bosnia and Herzegovina","BIH",0,0,0,0,36.11
"123",19120,2022-05-08,"Brazil","BRA",0.15495101233409,0.0200432829782814,0.218950137535806,0.0283217224505884,29.23
"124",19120,2022-05-08,"Bulgaria","BGR",0,0,0,0,11.11
"125",19120,2022-05-08,"Cameroon","CMR",0,0,0,0,27.78
"126",19120,2022-05-08,"Canada","CAN",0.156460250190355,0.00967016566442312,0.198553616992836,0.0122717838381004,21.2
