"","day_to_inflection","time_dependent_coefficient","NonMSM","MSM","Nt_p","Risk_posterior","country","iso3","time"
"80",0.900799057653688,1,0,0,0,0.285119858648053,"Netherlands","NLD",19119
"81",0.892584465015727,0.522165444440715,0,0,0,0.212212486418466,"Norway","NOR",19119
"82",0,0,0,0,0,0,"New Zealand","NZL",19119
"83",0,0,0,0,0,0,"Panama","PAN",19119
"84",0.702751457185915,0.410591379221711,0,0,0,0.167001425461144,"Peru","PER",19119
"85",0,0,0,0,0,0,"Philippines","PHL",19119
"86",0.84219034299207,0.385617104487306,0,0,0,0.184171117121906,"Poland","POL",19119
"87",0.79609261465569,0.315812950320128,0,0,0,0.166785834746373,"Puerto Rico","PRI",19119
"88",0.869798981322195,0.658374726117998,0,0,0,0.229226056116029,"Portugal","PRT",19119
"89",0,0,0,0,0,0,"Paraguay","PRY",19119
"90",0,0,0,0,0,0,"Qatar","QAT",19119
"91",0.888805853586269,0.354336937678794,0,0,0,0.186471418689759,"Romania","ROU",19119
"92",0,0,0,0,0,0,"Russian Federation","RUS",19119
"93",0,0,0,0,0,0,"Saudi Arabia","SAU",19119
"94",0,0,0,0,0,0,"Sudan","SDN",19119
"95",0,0,0,0,0,0,"Singapore","SGP",19119
"96",0,0,0,0,0,0,"El Salvador","SLV",19119
"97",0,0,0,0,0,0,"San Marino","SMR",19119
"98",0,0,0,0,0,0,"Serbia","SRB",19119
"99",0,0,0,0,0,0,"Slovakia","SVK",19119
"100",0.890710561265424,0.443669546029487,0,0,0,0.200157016094237,"Slovenia","SVN",19119
"101",0.848114076032708,0.501522507356649,0,0,0,0.202445487508404,"Sweden","SWE",19119
"102",0,0,0,0,0,0,"Thailand","THA",19119
"103",0,0,0,0,0,0,"T鐪塺kiye","TUR",19119
"104",0,0,0,0,0,0,"Ukraine","UKR",19119
"105",0,0,0,0,0,0,"Uruguay","URY",19119
"106",0.804185054964429,0.61072020822877,0,0,0,0.21223578947898,"United States of America","USA",19119
"107",0,0,0,0,0,0,"Venezuela (Bolivarian Republic of)","VEN",19119
"108",0,0,0,0,0,0,"Viet Nam","VNM",19119
"109",0,0,0,0,0,0,"South Africa","ZAF",19119
"110",0,0,0,0,0,0,"Aruba","ABW",19120
